Craton,REFERENCE,SAMPLE_ID,ROCK_NAME,LATITUDE,LONGITUDE,MIN_AGE,AGE,MAX_AGE,C_MIN_AGE,C_AGE,C_MAX_AGE,Arc_probability3,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,SC,V,CR,CO,NI,CU,ZN,GA,RB,SR,Y,ZR,NB,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,PB,TH,U
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",VB-1,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.003813402,53.3,0.89,13.4,13.05,0.25,4.9,8.46,3.2,0.1,0.09,84,428,38,37,81,,,,0.7,94,,58,2.61,0.04,18,8.38,19.5,2.57,12.6,3.69,1.59,5.15,0.92,7.1,1.75,5.6,0.88,6.32,0.99,1.8,0.17,47,0.35,0.14
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",VA,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.084668271,50.9,0.97,13.6,15.66,0.3,6.3,6.36,3.3,,0.08,82,416,154,52,73,,,,0.3,26,,70,2.79,0.05,16,4.02,11.5,1.65,7.88,2.49,0.44,3.53,0.66,5.36,1.31,4.75,0.76,5.29,0.87,2,0.17,35,0.42,0.09
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V44-2,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.031693321,49.1,0.47,17.7,8.91,0.16,8.4,11.7,1.2,,0.03,40,255,135,42,75,,,,0.5,140,,23,1.16,0.04,7,1,2.49,0.37,2.08,0.61,0.26,0.88,0.16,1.26,0.32,1.27,0.21,1.58,0.26,0.5,0.06,12.2,0.15,0.06
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V17-2,BASALT,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.770442665,49.7,0.83,13.7,11.97,0.23,7.3,10.39,0.7,2.4,0.06,49,328,153,47,80,,,,25,526,,49,2.3,2,189,3.66,8.87,1.27,6.64,2.15,0.77,3.01,0.49,3.5,0.78,2.47,0.37,2.36,0.37,1.5,0.15,20.7,0.31,0.07
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V44-3,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.972293139,50.34,0.46,18.04,10.66,0.18,10.91,6.46,0.05,1.82,0.03,46,207,98,49,80,,,,2,99,,22,1.01,,32,1.34,3.39,0.44,2.27,0.66,0.38,0.94,0.18,1.62,0.37,1.36,0.25,1.78,0.3,0.63,0.06,11.44,0.15,0.15
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V53,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.883591831,47.9,0.44,18.8,9.09,0.19,9.3,10.7,2.1,0.2,0.03,40,151,219,107,231,,,,6,187,,24,1.08,0.35,39,1.66,4.32,0.61,3.12,0.95,0.39,1.3,0.22,1.79,0.43,1.49,0.26,1.91,0.28,0.7,0.08,9.6,0.15,0.03
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V47,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.726993024,47.8,0.27,17.5,9,0.19,11.4,8.29,2.4,0.8,0.02,66,165,179,37,295,,,,36.6,176,,19,0.78,1.61,161,1.54,3.41,0.48,2.37,0.65,0.31,1.06,0.18,1.61,0.38,1.35,0.22,1.6,0.25,0.5,0.05,9.6,0.14,0.05
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V17-3,BASALT,48.12,-77.77,2700,2700,2700,,2713.5,2720,0.528722048,51.7,0.86,17,7.47,0.17,7.6,7.65,0.4,4.2,0.13,38,261,396,32,147,,,,14,385,,103,5.37,1,219,8.1,20.05,2.56,12.5,2.7,0.81,3.14,0.43,2.61,0.54,1.69,0.26,1.73,0.28,2.1,0.24,19,1.05,0.27
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V54B,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.682599664,50.4,0.99,13.8,15.21,0.27,4.7,6.89,4.3,0.2,0.1,75,347,331,50,67,,,,16,82,,77,3.53,49.4,188,4.42,12.1,1.65,8.39,2.67,0.79,3.78,0.77,6.31,1.57,5.07,0.86,5.99,0.96,2.3,0.21,39.4,0.46,0.1
Pilbara,A COMPARATIVE STUDY OF THE GEOCHEMICAL AND ISOTOPIC SYSTEMATICS OF LATE ARCHEAN FLOOD BASALTS FROM THE PILBARA AND KAAPVAAL CRATONS,GSWA42198,BASALT,-21.45,120.2,2690,2725,2760,2690,2725,2760,0.007750233,53.5,1.3,14.5,10.35,0.2,5.68,6.24,5.24,0.24,0.23,29,241,138,39,71,76,110,,6,115,24,150,7,,,12.9,27.9,,14.63,3.44,1.25,4.08,,3.96,0.92,2.63,,2.42,0.38,,,,2,0
Pilbara,A COMPARATIVE STUDY OF THE GEOCHEMICAL AND ISOTOPIC SYSTEMATICS OF LATE ARCHEAN FLOOD BASALTS FROM THE PILBARA AND KAAPVAAL CRATONS,GSWA100532,ANDESITE,-25.87,24.73,2700,2700,2700,2673,2700,2727,0.993123591,53.7,1.05,14.5,9.6,0.14,4.73,7.63,2.77,1.74,0.15,20,170,61,61,169,113,90,,68,466,20,141,0,,,17.5,33.9,,16.03,3.56,1.46,4.12,,3.7,0.74,2.02,,1.73,0.25,,,,3,0
Pilbara,A COMPARATIVE STUDY OF THE GEOCHEMICAL AND ISOTOPIC SYSTEMATICS OF LATE ARCHEAN FLOOD BASALTS FROM THE PILBARA AND KAAPVAAL CRATONS,GSWA100530,ANDESITE,-25.87,24.73,2700,2700,2700,2673,2700,2727,0.99463743,53.4,0.93,14.2,10.45,0.17,5.07,7.84,3.16,1.08,0.12,24,198,59,62,155,105,91,,45,471,21,120,0,,,15,28.6,,13.7,3.15,1.33,3.8,,3.6,0.76,2.11,,1.82,0.27,,,,2,0
Pilbara,A COMPARATIVE STUDY OF THE GEOCHEMICAL AND ISOTOPIC SYSTEMATICS OF LATE ARCHEAN FLOOD BASALTS FROM THE PILBARA AND KAAPVAAL CRATONS,GSWA100529,BASALT,-25.87,24.73,2700,2700,2700,2673,2700,2727,0.93863821,52.1,0.64,12.8,9.8,0.18,7.56,9.57,2.7,0.58,0.07,33,205,441,71,249,89,88,,25,342,15,76,0,,,8.6,16.4,,7.8,1.9,0.86,2.57,,2.77,0.64,1.75,,1.56,0.24,,,,0,0
Pilbara,A COMPARATIVE STUDY OF THE GEOCHEMICAL AND ISOTOPIC SYSTEMATICS OF LATE ARCHEAN FLOOD BASALTS FROM THE PILBARA AND KAAPVAAL CRATONS,GSWA100528,BASALT,-25.87,24.73,2700,2700,2700,2673,2700,2727,0.993867695,53.8,0.74,14.2,9.99,0.16,5.91,6.98,3.24,1.32,0.09,29,191,194,64,174,96,112,,46,305,17,96,0,,,12.1,22.3,,10.58,2.43,0.86,2.89,,3.05,0.65,1.86,,1.67,0.26,,,,2,2
Pilbara,A COMPARATIVE STUDY OF THE GEOCHEMICAL AND ISOTOPIC SYSTEMATICS OF LATE ARCHEAN FLOOD BASALTS FROM THE PILBARA AND KAAPVAAL CRATONS,GSWA100527,BASALT,-25.87,24.73,2700,2700,2700,2673,2700,2727,0.165553242,50.2,0.4,10,9.19,0.2,13.2,8.5,0.93,1.03,0.05,26,156,1831,72,418,56,105,,47,97,12,47,0,,,5.9,11.4,,6.7,1.66,0.63,2.02,,1.94,0.5,1.35,,1.2,0.2,,,,0,0
Pilbara,A COMPARATIVE STUDY OF THE GEOCHEMICAL AND ISOTOPIC SYSTEMATICS OF LATE ARCHEAN FLOOD BASALTS FROM THE PILBARA AND KAAPVAAL CRATONS,GSWA100525,ANDESITE,-25.87,24.73,2700,2700,2700,2673,2700,2727,0.019131387,53.6,1.39,14.5,8.05,0.12,3.58,5.99,3.82,2.36,0.62,18,184,151,40,87,39,123,,55,376,42,354,15,,,63,128,,61.09,11.17,3.24,10.1,,8.09,1.72,4.37,,3.63,0.52,,,,2,0
Pilbara,A COMPARATIVE STUDY OF THE GEOCHEMICAL AND ISOTOPIC SYSTEMATICS OF LATE ARCHEAN FLOOD BASALTS FROM THE PILBARA AND KAAPVAAL CRATONS,GSWA100519,BASALT,-25.87,24.73,2700,2700,2700,2673,2700,2727,0.511865795,52.8,1.19,13.1,10.28,0.15,4.4,5.88,4.11,1.3,0.24,16,168,34,65,192,147,128,,35,1256,21,217,8,,,24.3,51.4,,26.79,5.57,1.86,5.32,,4.03,0.87,2.23,,1.56,0.23,,,,0,0
Pilbara,A COMPARATIVE STUDY OF THE GEOCHEMICAL AND ISOTOPIC SYSTEMATICS OF LATE ARCHEAN FLOOD BASALTS FROM THE PILBARA AND KAAPVAAL CRATONS,GSWA100513,BASALT,-21.14,119.6,2690,2725,2760,2690,2725,2760,0.976664543,52.6,0.91,14.3,8.88,0.12,2.88,6.75,4.22,0.98,0.15,21,192,72,60,135,67,105,,29,505,24,172,7,,,23.5,44.9,,19.77,4.15,1.34,4.52,,4.06,0.92,2.47,,2.06,0.32,,,,5,2
"Eastern Transvaal, south Africa","A GEOCHEMICAL STUDY OF A PRECAMBRIAN MAFIC DYKE SWARM, EASTERN TRANSVAAL, SOUTH AFRICA",BA-13,THOLEIITE,-25.8,30.5,2500,3175,3850,2965.2,2965.9,2966.6,0.102174193,52.25,0.94,10.71,11.92,0.21,11.25,10.17,1.65,0.15,0.19,26.4,267,1122,,562,92,127,,3.1,284,21.1,84,7.4,,99,21,,,,,,,,,,,,,,,,,,
"Eastern Transvaal, south Africa","A GEOCHEMICAL STUDY OF A PRECAMBRIAN MAFIC DYKE SWARM, EASTERN TRANSVAAL, SOUTH AFRICA",BA-4,THOLEIITE,-25.8,30.5,2500,3175,3850,2965.2,2965.9,2966.6,0.027380051,51.35,0.82,6.03,13.05,0.19,15.79,9.83,1.16,1.04,0.08,32,244.5,1233,,833,211,89,,64,130.5,17.8,71,5.2,,77.5,20.5,,,,,,,,,,,,,,,,,,
"Eastern Transvaal, south Africa","A GEOCHEMICAL STUDY OF A PRECAMBRIAN MAFIC DYKE SWARM, EASTERN TRANSVAAL, SOUTH AFRICA",BA-5,THOLEIITE,-25.8,30.5,2500,3175,3850,2965.2,2965.9,2966.6,0.5099563,53.51,0.18,11.26,8.19,0.17,14.59,9.46,1.2,0.81,0.05,25.6,197,2473,,757,29,79,,73,87,14.9,51,4.1,,132,18.3,,,,,,,,,,,,,,,,,2.7,
"Eastern Transvaal, south Africa","A GEOCHEMICAL STUDY OF A PRECAMBRIAN MAFIC DYKE SWARM, EASTERN TRANSVAAL, SOUTH AFRICA",BA-5,THOLEIITE,-25.8,30.5,2500,3175,3850,2965.2,2965.9,2966.6,0.334666789,52.12,0.12,11.28,8.89,0.18,15.75,8.5,1.57,0.94,0.02,28.7,182,2599,,777,11,126,,47,135,9.3,30,3.2,,266,7.8,,,,,,,,,,,,,,,,,,0.1
"Eastern Transvaal, south Africa","A GEOCHEMICAL STUDY OF A PRECAMBRIAN MAFIC DYKE SWARM, EASTERN TRANSVAAL, SOUTH AFRICA",BA-3,THOLEIITE,-25.8,30.5,2500,3175,3850,2965.2,2965.9,2966.6,0.148453668,52.49,0.86,11.8,12.1,0.2,9.1,10.24,2.02,0.61,0.14,31,252,830,,315,76,90,,82,179,23.9,93,4.2,,89,12.2,,,,,,,,,,,,,,,,,,0.7
"Eastern Transvaal, south Africa","A GEOCHEMICAL STUDY OF A PRECAMBRIAN MAFIC DYKE SWARM, EASTERN TRANSVAAL, SOUTH AFRICA",BA-10,THOLEIITE,-25.8,30.5,2500,3175,3850,2965.2,2965.9,2966.6,0.001308435,53.56,0.61,14.02,10.04,0.18,8.18,9.8,2.7,0.39,0.09,29.3,165,522,,193,54,88.5,,15,230,21.7,80,5.2,,106,16.4,,,,,,,,,,,,,,,,,0.3,
"Eastern Transvaal, south Africa","A GEOCHEMICAL STUDY OF A PRECAMBRIAN MAFIC DYKE SWARM, EASTERN TRANSVAAL, SOUTH AFRICA",BA-10,THOLEIITE,-25.8,30.5,2500,3175,3850,2965.2,2965.9,2966.6,0.983499229,53.06,0.6,14.24,9.76,0.17,8.61,9.32,2.45,0.85,0.09,23.7,164,502,,196,53,81,,37,284,21.9,76,4,,162,17.3,17.33,2.41,9.8,2.23,0.82,2.42,,2.96,0.64,1.86,,1.68,,,,,3,1
"Eastern Transvaal, south Africa","A GEOCHEMICAL STUDY OF A PRECAMBRIAN MAFIC DYKE SWARM, EASTERN TRANSVAAL, SOUTH AFRICA",BA-7,THOLEIITE,-25.8,30.5,2500,3175,3850,2965.2,2965.9,2966.6,0.061257314,52.32,1.28,13.6,13.71,0.21,5.29,9.32,2.51,0.74,0.24,31.3,187,44,,69,80,117,,35,188,33.2,119,7.9,,215,28.5,29.19,4.04,16.43,3.59,1.2,4.1,,4.51,0.99,2.87,,2.59,,,,,2.3,2.9
"Eastern Transvaal, south Africa","A GEOCHEMICAL STUDY OF A PRECAMBRIAN MAFIC DYKE SWARM, EASTERN TRANSVAAL, SOUTH AFRICA",BA-7,THOLEIITE,-25.8,30.5,2500,3175,3850,2965.2,2965.9,2966.6,0.058702581,52.18,1.19,13.97,13.2,0.2,5.67,9.17,2.62,1.06,0.2,32.6,234,55,,86,76,112,,47,223,28,105,6.1,,302,23.7,,,,,,,,,,,,,,,,,3.3,0.8
"Eastern Transvaal, south Africa","A GEOCHEMICAL STUDY OF A PRECAMBRIAN MAFIC DYKE SWARM, EASTERN TRANSVAAL, SOUTH AFRICA",BA-7,THOLEIITE,-25.8,30.5,2500,3175,3850,2965.2,2965.9,2966.6,0.051952612,52.05,1.29,13.37,13.75,0.2,5.22,9.32,2.65,0.93,0.23,29.9,218,44,,72,80,117,,43,211,31.4,118,6.1,,235.5,23.4,,,,,,,,,,,,,,,,,4.1,0.7
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS13,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.998713136,53.26,0.86,14.83,10.23,0.2,6.48,8.31,2.83,0.57,0.1,,,108,,81,,,,7,236,16.39,61,0.49,,128,6.78,15.24,1.95,8.19,2.2,0.7,2.91,0.54,3.51,0.74,2.26,0.36,2.24,0.36,2.44,0.04,,1.24,0.38
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS28,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.001830078,49.53,0.89,13.68,12.23,0.22,6.46,11.15,1.86,0.2,0.1,,,127,,51,,,,7,127,20,52,2.2,,70,5.18,12.37,1.77,8.18,2.49,0.83,3.45,0.67,4.48,0.94,2.7,0.44,2.78,0.42,2.07,0.2,,0.5,0.08
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS30,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.982981145,50.32,1.04,14.65,11.26,0.21,7.01,8.87,2.38,0.41,0.04,,,87,,55,,,,7,165,12.55,30,0.36,,55,4.02,8.5,1.15,5.37,0.4,0.63,2.01,0.38,2.63,0.57,1.71,0.3,1.9,0.28,1.24,0.02,,0.33,0.13
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR7,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.592684984,49.5,0.79,14.29,12.32,0.23,7.18,10.71,2.11,0.62,0.1,,,103,,60,,,,14,146,16.79,48,1.91,,98,4.73,11.16,1.56,6.95,1.86,0.6,2.78,0.48,3.12,0.7,1.86,0.23,,0.28,1.41,0.09,,0.25,0.09
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR9,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.959673107,49.76,0.81,14.13,12.26,0.24,7.39,10.53,1.53,0.69,0.1,,,104,,69,,,,36,130,17.29,49,,,80,5.12,12.26,1.63,7.68,2.14,0.59,2.77,0.48,3.38,0.7,1.95,0.29,1.84,0.29,1.52,,,0.25,0.07
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR10,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.955032825,49.65,0.74,14.08,12.29,0.25,7.5,10.76,1.61,0.58,0.07,,,104,,67,,,,22,13,15.85,44,1.31,,85,4.87,10.95,1.5,6.8,0.86,0.56,2.73,0.41,2.92,0.65,1.77,0.26,1.62,0.27,1.31,0.01,,0.24,0.09
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR11,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.78845197,50.04,0.76,14.35,12.18,0.27,7.2,10.75,1.61,0.52,0.11,,,110,,64,,,,16,146,17.01,49,1.71,,87,5.64,12.7,1.72,7.09,2.19,0.54,2.85,0.46,3.15,0.64,1.91,0.26,1.77,0.27,1.43,0.03,,0.32,0.09
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR12,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.691453278,49.29,0.62,13.8,12.3,0.22,8.21,10.55,1.46,0.52,0.06,,,117,,67,,,,17,116,13.37,35,1.27,,112,4.57,10.4,1.39,6.13,1.62,0.43,2.15,0.35,2.51,0.53,1.43,0.2,1.28,0.2,0.99,0.01,,0.28,0.08
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR13,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.971538007,49.52,0.77,13.86,12.49,0.22,7.82,10.73,1.13,0.49,0.07,,,109,,66,,,,13,119,16.62,43,0.59,,104,5.49,12.33,1.7,7.34,1.94,0.62,2.59,0.44,3.06,0.63,1.74,0.26,1.69,0.26,1.25,,,0.33,0.13
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR15,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.970387638,49.09,0.81,13.93,14.77,0.24,7.4,10.27,1.53,0.66,0.08,,,95,,62,,,,13,115,18.37,50,,,129,5.41,12.17,1.77,7.52,1.93,0.6,2.9,0.47,3.52,0.68,1.92,0.25,1.83,0.28,1.42,,,0.27,0.25
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR16,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.420987457,49.7,0.82,13.84,6.58,0.24,7.18,10.03,2.01,0.78,0.09,,,97,,59,,,,25,144,18.25,49,2.12,,113,6.09,11.32,1.76,7.24,1.91,0.59,2.81,0.46,3.18,0.65,1.9,0.29,1.72,0.27,1.45,0.04,,0.27,0.31
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR20,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.972479701,45.3,0.82,14.56,11.3,0.2,12.3,5.36,0.66,4.01,0.08,,,80,,266,,,,160,73,14.09,60,1.42,,454,7.47,14.52,1.95,7.98,1.88,0.8,2.87,0.41,2.79,0.52,1.3,0.2,1.39,0.19,1.77,0.06,,1.03,
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR21,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.978092134,47.99,0.97,15.45,11.36,0.22,9.1,7.81,1.83,1.51,0.09,,,84,,209,,,,50,139,17.66,63,0.71,,138,7.64,16.66,2.21,9.24,2.58,0.76,3.27,0.52,3.45,0.68,1.76,0.23,1.53,0.21,1.85,,,1.03,0.33
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR22,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.981700242,49.37,1.17,15.16,12,0.21,6.65,7.52,0.95,2.61,0.15,,,62,,103,,,,84,282,22.51,63,0.51,,390,13.32,30.54,4.02,16.31,3.71,1.1,4.69,0.81,5.07,0.89,2.3,0.3,2,0.29,3.15,,,2.42,0.78
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS55,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.353994817,50.51,0.9,13.63,12.02,0.22,6.55,9.86,1.66,0.44,0.13,,,88,,55,,,,5,140,21.39,71,2.81,,143,8.71,19.25,2.53,11.29,2.76,1.06,4.23,0.75,4.8,0.97,2.65,0.39,2.66,0.42,2.61,0.25,,1.33,0.29
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS59,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.923941076,50.09,0.9,13.35,12.64,0.23,6.76,10.45,1.14,0.4,0.08,,,48,,46,,,,4,108,20.04,55,,,73,5.69,14.14,1.9,8.62,2.38,0.89,3.29,0.57,4.06,0.87,2.46,0.39,2.6,0.43,1.84,,,0.6,0.1
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS61,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.999254405,53.68,0.85,13.58,10.67,0.21,6.42,8.31,1.97,1.25,0.27,,,903,,416,,,,39,415,15.49,63,2.04,,325,8.86,20.39,2.83,12.5,3.28,1.03,3.43,0.54,3.35,0.72,1.88,0.34,2.04,0.37,2.24,0.12,,1.1,0.27
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS66,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.949751496,53.86,0.58,17.29,6.58,0.21,4.67,8.64,4.49,0.94,0.35,,,97,,30,,,,19,671,12.04,81,5.32,,260,20.9,45.74,5.79,22.74,4.78,1.31,4.18,0.51,2.81,0.48,1.42,0.2,1.48,0.22,2.61,0.34,,4.68,1.29
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WSI10,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.804448128,48.3,1.99,13.19,15.53,0.25,5.89,9.21,1.27,0.78,0.4,,,113,,57,,,,16,102,37.27,126,0.53,,172,13.2,33.39,4.65,21.15,5.54,1.77,6.63,1.27,7.6,1.6,4.76,0.72,4.49,0.72,4,0.04,,1.51,0.32
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS112,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.700492859,47.9,2.14,13.14,16.02,0.24,5.57,9.65,1.43,0.66,0.36,,,108,,56,,,,10,114,37.07,119,,,123,12.96,31.07,4.19,19.28,5.36,1.74,7.01,1.18,7.67,1.61,4.24,0.67,4.71,0.72,3.83,,,1.4,0.33
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS97,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.927909613,50.24,1.44,12.87,14.52,0.27,5.26,10.31,1.88,0.71,0.19,,,40,,26,,,,17,129,31.08,113,0.76,,256,12.13,31.27,4.28,18.06,4.56,1.25,5.7,1.03,6.26,1.29,3.6,0.56,3.7,0.53,3.64,,,1.59,0.44
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS130,BASALT,38.5,113,2500,2500,2500,2538.9,2543,2547.1,0.098427542,52.34,0.68,17.78,8.65,0.21,5.24,10.77,2.32,0.3,0.11,,,40,,73,,,,4,112,16.52,88,3.92,,74,7.04,15.82,2.12,8.64,2.25,0.62,2.58,0.47,3.04,0.61,1.71,0.26,1.85,0.3,2.46,0.3,,0.5,1.13
