Craton,REFERENCE,SAMPLE_ID,ROCK_NAME,LATITUDE,LONGITUDE,MIN_AGE,AGE,MAX_AGE,C_MIN_AGE,C_AGE,C_MAX_AGE,Arc_probability3,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,SC,V,CR,CO,NI,CU,ZN,GA,RB,SR,Y,ZR,NB,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,PB,TH,U
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",6HP 92-1,BASALT,64.2325,29.0847,2500,3175,3850,2740,2770,2800,0.972570479,52.99,0.95,17.8,7.71,0.176,5.63,10.05,3.77,0.17,0.059,,294,323,80,142,37,77,19,2,139,17,49,0,,46,6,17,,,,,,,,,,,,,,,13,,
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",537MAF 95-1,basalt,64.0984,29.2988,2500,3175,3850,2740,2770,2800,0.10574162,49.9,0.612,14.3,11.8,0.214,7.82,9.2,2.42,0.144,0.05,,299,219,60,120,60,90,,6.4,131.07,16,22,16,20,53.74,0,20,,,,,,,,,,,,,,0,0,0,5
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",52JSN 95-1,BASALT,63.9374,29.0868,2500,3175,3850,2740,2748,2756,0.014874286,45.5,0.556,10.8,11.8,0.184,15.5,8.41,1.06,0.05,0.047,,218,1375,110,420,10,80,,3.66,32.98,13,22,17,20,53.74,20,10,,,,,,,,,,,,,,20,10,0,5
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",187JTL 96-1,basalt,63.8412,28.9024,2500,3175,3850,2740,2770,2800,0.248949021,47.1,0.525,12.2,11.5,0.334,10.6,12.1,1.22,0.269,0.047,,238,1102,100,370,0,80,,13.72,25.37,10,7,16,10,71.65,30,0,,,,,,,,,,,,,,0,10,,5
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",180TOH 96-1,BASALT,65.204,29.0938,2500,3175,3850,2740,2770,2800,0.054328084,48.8,0.753,14.6,10.7,0.198,7.23,11.8,1.8,0.077,0.066,,286,246,50,140,80,70,,9.14,117.54,14,22,19,20,44.78,10,40,,,,,,,,,,,,,,0,10,,8
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",32JTL 97-1,BASALT,63.8979,28.9641,2500,3175,3850,2740,2770,2800,0.132586643,46.8,0.656,15.5,13.1,0.398,8.71,10.8,1.45,0.266,0.055,,283,1211,130,360,0,110,,10.06,30.44,14,15,15,10,44.78,10,20,,,,,,,,,,,,,,10,10,0,2
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",4SII 93-1/60.4,BASALT,64.244,29.0751,2500,3175,3850,2763,2788,2813,0.97929126,45,0.739,13.1,13,0.22,12.5,7.56,1.89,0.143,0.046,,156,223,110,1320,790,460,,3.66,41.43,13,22,3,30,62.7,0,20,,,,,,,,,,,,,,0,30,0,5
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",269JEV 95-3,basalt,64.2344,28.9657,2500,3175,3850,2740,2770,2800,0.47076878,50.4,0.926,21.6,6.35,0.067,7.21,3.37,4.34,4.4,0.015,,102,60,30,80,0,70,,672.09,739.89,20,215,30,870,1218.1,0,30,,,,,,,,,,,,,,0,40,0,4
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",39TOH 94-1,BASALT,64.2394,29.1055,2500,3175,3850,2740,2770,2800,0.527493894,46.9,0.384,7.94,12.2,0.308,13,10.6,0.54,0.078,0.027,,177,1936,100,680,0,110,,4.57,3.38,8,15,7,0,26.87,0,10,,,,,,,,,,,,,,0,0,0,3
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",95JSN 95-1,BASALT,63.9176,29.1123,2500,3175,3850,2740,2748,2756,0.393518865,46.3,0.469,9.99,10.5,0.223,15.1,11,0.89,0.138,0.03,,204,1321,170,450,10,80,,7.32,7.61,10,15,15,20,8.96,0,0,,,,,,,,,,,,,,0,0,0,6
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",17VIE 64-2/101.47,BASALT,64.4462,29.0483,2500,3175,3850,2763,2788,2813,0.799767315,47.7,0.528,12.5,10.3,0.357,5.34,9.34,1.98,0.338,0.047,,229,1061,30,1180,20,80,,14.63,74.41,13,22,4,0,71.65,0,20,,,,,,,,,,,,,,0,0,0,6
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",126MAF 96-1,THOLEIITE,65.1617,29.0654,2500,3175,3850,2740,2770,2800,0.048070624,49,0.768,14.3,11.5,0.237,6.27,12.5,1.43,0.226,0.073,,286,252,40,150,110,90,,6.4,115,13,30,14,10,62.7,20,20,,,,,,,,,,,,,,0,10,,10
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",187MAF 96-1,BASALT,65.1764,29.1174,2500,3175,3850,2740,2770,2800,0.22065483,46.6,0.717,12,12.5,0.262,11.7,10.3,1.42,0.42,0.056,,272,869,70,290,60,100,,20.12,59.19,11,22,17,10,134.35,10,20,,,,,,,,,,,,,,0,10,,5
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",18VIE 64-1/201.00,basalt,64.4462,29.0483,2500,3175,3850,2763,2788,2813,0.094933882,45,0.515,12.1,11.5,0.417,5.32,10.6,1.36,0.288,0.041,,240,1026,20,780,90,100,,14.63,76.95,10,22,7,20,62.7,30,10,,,,,,,,,,,,,,0,10,0,4
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",83TOH 94-1,BASALT,64.1737,29.1085,2500,3175,3850,2740,2770,2800,0.474089175,48.1,0.574,13.6,10.5,0.235,10.1,9.57,2.18,0.16,0.044,,238,862,90,300,20,90,,1.83,84.56,14,22,5,0,44.78,10,20,,,,,,,,,,,,,,0,10,0,0
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",327JEV 95-1,basalt,64.3324,29.1091,2500,3175,3850,2740,2770,2800,0.024457162,47.1,0.514,11.9,10.4,0.233,12,13.1,0.89,0.111,0.042,,204,1512,90,540,10,80,,10.97,88.79,10,15,14,10,26.87,0,20,,,,,,,,,,,,,,10,10,0,5
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",16TOH 94-1,BASALT,64.2732,29.0415,2500,3175,3850,2740,2770,2800,0.172565684,47,0.567,12.6,11.6,0.242,11,11.4,1.31,0.212,0.05,,245,1102,120,340,0,120,,4.57,69.34,11,15,16,0,71.65,20,30,,,,,,,,,,,,,,0,20,0,10
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",148MAF 96-1,THOLEIITE,65.1684,29.0856,2500,3175,3850,2740,2770,2800,0.156568453,49.5,0.653,14.7,11.4,0.232,8.59,9.43,2.53,0.18,0.06,,292,304,50,60,50,160,,8.23,54.96,17,22,17,20,71.65,10,30,,,,,,,,,,,,,,0,10,,11
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",181VIE 65-1/163.48,basalt,64.4462,29.0483,2500,3175,3850,2763,2788,2813,0.107880197,47,0.526,12.3,8.61,0.337,4.64,11.7,2.16,0.427,0.049,,219,1047,30,580,60,70,,21.03,90.48,13,22,9,20,80.61,10,30,,,,,,,,,,,,,,10,10,0,5
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",96JTL 95-2,basalt,64.0849,29.3137,2500,3175,3850,2740,2770,2800,0.097228505,49.1,0.594,14.4,12.4,0.229,8,9.9,2.33,0.204,0.049,,272,225,70,120,70,90,,3.66,105.7,15,22,16,0,35.83,0,0,,,,,,,,,,,,,,0,10,0,4
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",109MAF 96-1,THOLEIITE,65.1444,29.1621,2500,3175,3850,2740,2770,2800,0.016766991,49.5,0.82,15,11.2,0.215,8.84,9.87,1.96,0.126,0.069,,292,302,60,130,80,60,,9.14,107.39,12,30,16,20,71.65,40,20,,,,,,,,,,,,,,0,0,,9
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",128JTL 96-1,basalt,63.8641,28.8812,2500,3175,3850,2740,2770,2800,0.100055322,46.9,0.782,15,9.89,0.325,10.4,10.4,2.35,0.398,0.072,,292,345,60,160,0,160,,24.69,73.57,23,30,16,10,71.65,10,30,,,,,,,,,,,,,,0,30,0,8
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",177JTL 96-2,basalt,63.85,28.8968,2500,3175,3850,2740,2770,2800,0.2020621,53.4,0.622,15.2,9.89,0.292,7.76,6.69,4.11,0.252,0.06,,272,1882,140,750,70,90,,10.06,107.39,10,22,16,20,71.65,10,10,,,,,,,,,,,,,,10,0,,6
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",17VIE 64-1/62.40,BASALT,64.4462,29.0483,2500,3175,3850,2763,2788,2813,0.00592489,46.2,0.526,12,12.7,0.415,5.37,12.1,1.35,0.151,0.042,,240,978,90,820,190,80,,0.91,114.15,16,22,6,0,35.83,0,20,,,,,,,,,,,,,,10,10,0,9
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",90TOH 94-1,BASALT,64.3005,29.0393,2500,3175,3850,2740,2770,2800,0.056192074,47.7,0.78,14.9,11.8,0.219,7.64,9.77,2.62,0.44,0.063,,313,259,70,160,200,110,,18.29,144.6,19,30,6,10,80.61,30,20,,,,,,,,,,,,,,10,30,0,6
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",200JSN 95-1,BASALT,63.9514,29.0717,2500,3175,3850,2740,2748,2756,0.060823206,46.6,0.555,12.6,11.7,0.223,11.9,10.6,0.64,0.098,0.048,,231,1061,240,350,0,90,,6.4,27.9,11,15,12,30,17.91,30,20,,,,,,,,,,,,,,10,10,0,4
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",316JTL 97-2,basalt,64.4642,29.5636,2500,3175,3850,2740,2770,2800,0.005194594,47.7,0.499,12,10.3,0.207,14.8,10.2,1.95,0.119,0.043,,212,1498,90,510,0,70,,4.57,185.18,5,15,17,10,26.87,20,20,,,,,,,,,,,,,,0,0,0,3
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",103TOH 96-1,BASALT,65.1883,29.1102,2500,3175,3850,2740,2770,2800,0.553981125,47.7,0.522,14.1,12,0.239,8.44,12.9,1.29,0.199,0.008,,313,335,80,160,40,100,,12.8,82.02,6,0,13,0,62.7,0,10,,,,,,,,,,,,,,0,0,,5
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",20TOH 94-1,BASALT,64.2938,29.0488,2500,3175,3850,2740,2770,2800,0.01382901,48.5,0.514,12.2,11.2,0.227,8.88,10.4,1.16,0.172,0.053,,231,862,70,280,30,110,,7.32,60.88,13,22,7,20,71.65,10,10,,,,,,,,,,,,,,10,10,0,0
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",140JSK 93-1,basalt,64.4403,29.0382,2500,3175,3850,2740,2770,2800,0.074159347,50.3,1.01,13.1,12.2,0.184,6.92,8.93,3.71,0.195,0.098,,263,301,80,100,40,100,,1.83,109.08,18,67,8,10,35.83,10,20,,,,,,,,,,,,,,0,0,0,2
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",80TOH 95-1,BASALT,64.451,29.0399,2500,3175,3850,2740,2770,2800,0.041889329,48.4,0.62,10.8,11,0.221,11.5,11,1.72,0.294,0.043,,238,1081,100,320,270,200,,10.97,180.96,7,15,20,20,116.44,20,20,,,,,,,,,,,,,,0,30,0,0
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",10SII 93-1/7.00,BASALT,64.2309,29.0817,2500,3175,3850,2763,2788,2813,0.094791301,52.5,0.93,16.8,9.65,0.175,4.58,8.88,3.94,0.602,0.087,,331,337,80,130,0,60,,55.78,103.16,19,52,8,10,107.48,0,10,,,,,,,,,,,,,,0,10,0,2
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",2ARO 93-1/14.90,BASALT,64.4465,29.0465,2500,3175,3850,2740,2770,2800,0.397041619,51.9,0.443,9.15,14.4,0.512,8.95,9.42,0.7,0.247,0.036,,196,2614,120,760,10,130,,7.32,12.68,9,15,7,20,71.65,0,20,,,,,,,,,,,,,,0,0,0,3
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",226JSN 95-1,BASALT,63.9596,29.0735,2500,3175,3850,2740,2748,2756,0.049948916,45.7,1,16,12.6,0.212,5.92,10.9,2.26,0.19,0.085,,326,334,80,100,120,110,,8.23,90.48,24,44,22,30,44.78,30,20,,,,,,,,,,,,,,0,0,0,6
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",14SMS 70-3/98.85,BASALT,65.1657,29.0866,2500,3175,3850,2939,2942,2945,0.095752694,51,0.685,12.2,11.1,0.227,10.4,7.05,3.63,0.081,0.054,,258,855,120,260,90,150,,4.57,56.65,14,30,19,10,44.78,20,30,,,,,,,,,,,,,,0,10,0,3
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",80TOH 96-1,BASALT,65.1478,29.0891,2500,3175,3850,2740,2770,2800,0.012847373,50,0.805,14.7,11.5,0.192,6.69,10.4,1.91,0.113,0.066,,292,225,50,120,70,90,,6.4,109.93,22,22,16,0,62.7,20,20,,,,,,,,,,,,,,10,10,0,9
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",38TOH 94-1,BASALT,64.2394,29.1061,2500,3175,3850,2740,2770,2800,0.611295283,46.8,0.485,10.8,10.8,0.193,12.5,8.59,1.76,0.057,0.047,,211,1293,80,450,80,90,,1.83,62.57,9,22,4,10,44.78,20,0,,,,,,,,,,,,,,0,10,0,6
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",119JTL 96-1,basalt,63.8673,28.8823,2500,3175,3850,2740,2770,2800,0.150429562,51.7,0.77,14.6,11,0.231,7.39,9.03,2.83,0.379,0.074,,326,268,80,90,50,100,,19.2,65.11,12,30,17,0,89.57,10,0,,,,,,,,,,,,,,10,30,0,5
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",58R 0-1/40.63,THOLEIITE,64.4464,29.0507,2500,3175,3850,2763,2788,2813,0.999897718,53.1,0.6,13.3,13.04,0.34,4.51,14.14,0.42,0.21,,,,275,,567,580,180,,,,,,,,,,,,,,,,,,,,,,,,,35,,
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",154TOH 94-1,BASALT,64.2369,29.1069,2500,3175,3850,2740,2770,2800,0.01762094,50,0.606,13,10.6,0.175,11.4,6.84,3.8,0.055,0.056,,258,773,100,240,180,70,,4.57,77.79,11,22,20,40,26.87,30,20,,,,,,,,,,,,,,10,10,0,1
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",88TOH 96-1,BASALT,65.1391,29.0347,2500,3175,3850,2740,2770,2800,0.074546419,51.2,0.999,14.9,10.3,0.194,6.48,8.94,4.03,0.154,0.091,,279,306,40,120,50,180,,8.23,50.74,18,37,17,10,62.7,10,30,,,,,,,,,,,,,,10,20,0,8
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",281JTL 96-1,basalt,63.8271,28.8671,2500,3175,3850,2740,2770,2800,0.04823073,46.9,0.478,19.7,8.93,0.156,8.39,10.7,2.57,0.527,0.039,,177,220,70,280,60,80,,33.83,98.09,8,7,18,20,107.48,20,20,,,,,,,,,,,,,,10,20,,3
"Tipasjärvi-Kuhmo-Suomussalmi, Finland","ARCHEAN EVOLUTION OF THE TIPASJÄRVI-KUHMO-SUOMUSSALMI GREENSTONE COMPLEX, FINLAND",14TOH 95-1,BASALT,64.2271,29.0768,2500,3175,3850,2740,2770,2800,0.240260258,51.3,0.636,17,8.97,0.147,6.35,10.6,2.8,0.218,0.048,,272,431,220,170,30,50,,6.4,87.94,10,22,13,10,53.74,10,0,,,,,,,,,,,,,,10,10,0,6
