NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING,longitude,latitude,AGE,PUBLICATION_YEAR
2.20042857142857,7.05654285714286,15.4663142857143,50.0456142857143,0.137385714285714,0.316185714285714,12.4031714285714,1.37362857142857,0.1952,9.8224,8.42172944780248,322.32017855984,97.4372048371964,37.0511788338326,67.7498890900051,59.7653615017003,161.894366448175,29.7833808667968,77.4281825704876,5.62142102478774,4.7743309202991,12.5996624918149,2.07879726435746,10.0433189988842,3.04593015228067,1.10466461080137,4.16815270519382,0.781045289483381,4.74272971086477,0.994576669876148,3.06001889211164,2.83221824006028,0.423528207527314,2.33746921880987,0.318708822924371,0.489697216605637,BACK-ARC_BASIN,-177.16,-15.68,,2012
3.37,6.35,17.56,46.52,0.23,0.53,10.61,1.77,0.15,,92.0,288.0,290.0,72.0,151.0,82.0,207.0,,142.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,117.0,15.3923,,2015
2.69,8.54,16.3,49.6,0.11,0.28,11.52,1.25,0.13,7.47,4.0,,311.0,,140.0,29.0,151.0,27.0,87.0,2.0,2.0,10.0,,,,,,,,,,,,,,0.0,BACK-ARC_BASIN,137.44,29.328,,1980
2.2,8.21,16.24,49.63,0.16,0.4,11.78,0.97,0.16,9.01,7.9,268.7,231.6,,70.0,74.4,250.6,21.6,60.6,2.5,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,127.1,27.57,,1990
2.8,10.15,18.6,48.0,0.06,0.13,12.59,0.77,0.1,6.17,0.0,,226.0,,109.0,117.0,212.0,16.0,66.0,0.0,11.0,7.0,,6.0,,,,,,,,,,,,0.0,BACK-ARC_BASIN,145.18,17.912,,1980
2.5,6.4,15.1,52.4,0.09,0.13,11.2,0.9,0.16,,,,113.0,,,14.4,120.0,19.4,14.7,0.63,1.6,4.7,,4.6,1.3,1.3,2.0,,2.5,,1.4,1.5,,1.2,,0.07,BACK-ARC_BASIN,150.285,-3.16,,2012
2.14,7.29,15.57,50.74,0.08,0.105,12.25,0.94,0.18,9.19,1.44,289.0,174.0,40.1,68.0,16.2,119.0,23.2,46.9,0.53,1.52,5.2,0.95,5.42,1.94,0.74,0.53,2.94,3.65,0.82,2.35,2.4,0.38,1.29,0.047,0.078,BACK-ARC_BASIN,-176.125,-20.033,,2009
3.26,8.28,15.56,49.08,0.13,0.15,10.85,1.62,0.18,,3.0,245.0,324.0,,129.0,21.0,194.0,31.0,90.0,2.8,4.4,11.4,1.7,9.2,3.2,1.2,4.2,0.7,5.0,1.0,2.9,2.5,0.3,,,0.3,BACK-ARC_BASIN,138.231,40.19,16.35,1992
2.33,8.14,14.84,49.63,0.07,0.05,12.36,0.98,0.17,,0.5,276.0,198.0,,102.0,10.0,75.0,23.0,54.0,0.7,1.4,4.2,,,2.15,0.82,3.0,,,0.8,,2.6,0.4,1.1,,2.0,BACK-ARC_BASIN,149.015,-3.42,,2003
2.45,7.56,15.28,50.75,0.09,0.12,11.92,1.04,0.16,,1.0,299.0,180.0,,81.0,12.0,118.0,21.0,59.0,0.8,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,150.43,-3.858,,2003
1.99,7.17,15.7,51.03,0.078,0.113,12.14,0.85,0.18,8.98,1.48,278.0,178.0,37.6,65.0,19.3,116.0,21.2,43.6,0.56,1.4,4.74,0.87,4.97,1.79,0.7,0.49,2.72,3.36,0.75,2.16,2.19,0.35,1.22,0.047,0.075,BACK-ARC_BASIN,-176.121,-20.019,,2009
3.06,6.89,16.2,51.0,0.15,0.25,11.05,1.36,0.16,8.08,1.0,220.0,,,85.0,21.0,192.0,30.0,102.0,2.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,144.7,18.25,,1990
2.69,7.24,16.3,49.7,0.13,0.06,12.16,1.33,0.15,9.03,0.0,,273.0,,99.0,30.0,161.0,31.0,97.0,2.0,4.0,12.0,,,,,,,,,,,,,,0.0,BACK-ARC_BASIN,137.44,29.328,,1980
2.75,7.93,15.67,50.09,0.1,0.25,10.75,1.44,0.16,10.84,5.76,211.0,305.0,46.0,145.0,36.3,145.0,18.4,63.5,4.96,3.37,10.4,1.42,7.05,2.27,0.864,0.56,0.579,3.38,0.69,1.89,1.66,0.248,1.71,0.337,0.284,BACK-ARC_BASIN,-176.232,-15.063,,2012
