NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING,longitude,latitude,AGE,PUBLICATION_YEAR
2.63,8.14,16.99,49.07,,0.057,12.58,0.85,0.17,9.27,0.81,299.0,235.0,45.0,81.0,7.2,88.0,27.5,54.4,0.83,1.55,5.39,1.01,5.89,2.17,0.84,0.63,3.43,4.36,0.97,2.82,2.84,0.45,1.55,0.066,0.074,BACK-ARC_BASIN,-176.034,-19.795,,2009; 2015
3.33,4.62,16.01,51.27,0.34,0.36,9.56,1.7,,11.13,10.9,464.0,16.0,,5.0,51.0,276.0,27.0,73.0,2.1,,14.4,,11.9,3.5,1.4,4.2,,4.7,,2.8,2.6,,,,,BACK-ARC_BASIN,139.88,31.068,,1990
2.85,5.47,17.3,49.6,0.13,0.22,11.4,1.2,0.17,,2.32,208.0,296.0,46.9,112.0,22.0,186.0,24.3,79.7,5.25,4.04,10.7,1.64,8.7,2.93,1.12,3.56,0.63,4.33,0.95,2.53,2.36,0.341,2.11,0.33,0.4,BACK-ARC_BASIN,115.047,12.9196,,2018
3.01,5.82,13.4,46.9,0.61,1.33,9.93,4.17,0.17,12.03,14.0,,48.0,,38.0,334.0,673.0,26.0,191.0,27.0,29.0,61.0,,,,3.06,,0.94,,,,,,4.54,,2.0,BACK-ARC_BASIN,132.775,24.701,,1980; 1981
1.79,6.89,17.67,46.18,0.28,0.23,12.51,1.15,0.48,,7.07,406.0,79.0,,108.0,44.5,358.0,26.6,39.5,1.43,6.76,12.3,2.07,10.2,2.88,1.04,3.77,,3.93,,2.27,2.12,,1.21,,0.744,BACK-ARC_BASIN,139.45,32.1,,2000; 2001
2.73,5.83,14.28,51.31,0.12,0.22,10.26,1.17,0.1,,2.0,368.0,11.0,47.0,38.0,28.0,130.0,28.0,64.0,1.2,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,150.081,-3.332,,2003
2.79,6.59,16.36,51.41,0.12,0.32,11.68,1.27,0.16,7.5,4.0,,311.0,31.0,117.0,33.0,201.0,,100.0,,5.37,,,10.33,3.12,,,,,,,,,,0.23,0.37,BACK-ARC_BASIN,144.78,17.92,,1990
2.0909,9.10738,16.60508,49.11794,0.08898,0.08816,13.08696,1.1368,0.16432,8.54648,2.2168574748259,224.725704711814,323.354607897149,45.5404636004084,150.431611839261,16.2295972445031,109.80315417018,22.9191326499274,70.3372874049877,1.43286498977419,2.55755342794862,7.31410531461043,1.37101050730782,7.47326767081926,2.25895341391977,0.89940463519095,3.3276402755956,0.598906761420081,3.98518907564722,0.915210107269859,2.21166145637368,2.10917113218947,0.372509151402798,1.86512170453258,0.109596217256057,0.210537899133738,BACK-ARC_BASIN,-176.17,-15.04,,2012
2.67,6.72,16.4,50.0,0.21,0.24,11.86,1.47,0.17,8.66,3.0,,234.0,,62.0,54.0,159.0,36.0,123.0,8.0,8.0,19.0,,,,,,,,,,,,,,2.0,BACK-ARC_BASIN,137.684,28.638,,1980
2.56,8.07,15.88,49.79,0.124,0.099,11.8,1.32,0.174,9.64,1.04,279.0,318.0,44.1,121.0,10.7,125.0,24.9,69.3,1.96,2.8,9.0,1.46,8.23,2.73,1.1,3.86,0.699,4.54,0.938,2.73,2.69,0.405,1.91,0.126,0.154,BACK-ARC_BASIN,174.273,-16.612,,2023; 1993
2.38,8.06,14.83,49.69,0.12,0.04,12.15,1.05,0.14,10.01,0.65,313.0,305.0,46.2,106.0,6.0,80.0,30.2,54.6,0.95,1.56,4.77,0.93,5.95,2.44,0.94,3.36,0.62,4.55,0.97,2.9,2.94,0.42,1.62,0.08,0.069,BACK-ARC_BASIN,-176.428,-18.5832,,2008; 2001
2.81,6.88,15.47,51.38,0.13,0.31,11.14,1.16,0.19,9.56,6.6,300.2,178.0,,67.8,42.0,137.9,31.2,76.8,2.8,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,-174.818,-15.627,,1992; 1993
2.39,6.84,14.13,51.25,0.09,0.05,11.09,1.19,0.2,11.89,0.734,387.0,117.0,49.1,,7.65,73.4,32.2,63.4,1.03,1.91,6.67,1.19,7.02,2.67,1.04,4.16,0.748,5.45,1.21,3.59,3.65,0.551,1.96,0.08,0.098,BACK-ARC_BASIN,150.279,-3.1642,,2015
2.72,5.43,13.01,50.67,0.17,0.1,10.2,1.72,0.37,,1.5,434.0,79.0,,54.0,22.0,87.0,40.0,100.0,2.0,3.4,9.9,,,4.15,1.37,5.4,,,1.5,,5.1,0.77,2.2,,2.0,BACK-ARC_BASIN,150.563,-3.07667,,2003
2.8469,6.4507,16.223,49.0737,0.1325,0.316,11.6299,1.5932,0.1469,9.85,7.34844231398975,311.619364397782,273.832178441847,,,5.95663729456866,125.093705673471,38.0439635202404,100.907883413614,1.60610688941929,3.20261752124737,10.8083843824761,1.78970934606769,10.3002465112284,3.82889163313677,1.47190977932974,5.41182485789779,1.04110374279192,6.56802071734807,1.44392063016882,4.20067524062459,3.9425134111416,0.570338616889936,2.67324748529849,0.15224493457092,0.11408526317638,BACK-ARC_BASIN,139.612,19.912,NEOGENE,2010
2.68,4.81,13.61,51.37,0.142,0.29,9.08,1.49,0.221,12.6,2.99,471.0,31.0,41.4,28.0,31.756,144.57,37.03,82.9,1.49,3.98,10.85,1.98,9.92,3.69,1.33,5.28,0.92,6.57,1.46,4.37,4.3,0.68,2.13,0.064,0.286,BACK-ARC_BASIN,150.298,-3.1416,,2015
2.9,6.9,14.24,51.2,0.1,0.17,11.19,1.53,0.19,,1.45,290.0,135.0,40.0,50.0,19.0,80.0,34.9,89.0,2.5,4.3,6.47,1.01,10.9,2.01,1.06,2.6,0.45,5.7,0.64,3.1,3.48,0.26,1.4,0.23,,BACK-ARC_BASIN,173.917,-16.9778,,1991; 1994; 1994
1.98,8.09,15.12,51.4,0.07,0.08,12.57,1.02,0.16,9.35,1.22,326.0,437.0,38.0,94.0,12.1,65.0,25.1,48.0,0.86,1.66,4.95,0.99,5.62,2.04,0.82,3.13,0.58,4.0,0.93,2.83,2.78,0.43,1.1,0.07,0.09,BACK-ARC_BASIN,-175.927,-19.44,,1994
4.13,7.74,16.58,49.3,0.32,0.58,10.03,1.22,0.18,,4.9,,307.0,,107.0,146.0,612.0,11.0,85.0,4.0,9.0,22.0,,,,,,,,,,,,,,1.0,BACK-ARC_BASIN,-56.75,-62.05,,1979
3.07876666666667,5.64958888888889,14.4855111111111,49.9316777777778,0.1961,0.458155555555555,10.8644888888889,2.02583333333333,0.190611111111111,12.0779777777778,12.0105984785841,323.874833549456,40.0401763067507,43.4427473350323,26.1594652927707,100.71434522515,186.183172316377,36.9235471294119,142.903952782976,9.85732123210222,8.76618139706866,20.2898713741167,3.33729629215389,15.5630029455435,4.64829964876046,1.55422737985933,6.25926380774039,0.999306126816607,6.69331738028658,1.49993113754648,3.65471925219268,3.70033801759499,0.592160984623209,3.51645043846643,0.632319636230398,0.864218885031714,BACK-ARC_BASIN,-176.28,-15.33,,2012
2.26,7.15,14.85,51.16,0.091,0.072,11.87,1.15,0.2,10.22,1.16,322.0,151.0,41.9,58.0,10.8,93.0,29.0,59.2,0.79,1.75,6.05,1.12,6.49,2.38,0.88,0.67,3.69,4.56,1.02,2.94,2.98,0.46,1.66,0.064,0.081,BACK-ARC_BASIN,-176.105,-19.985,,2009
2.09,10.44,14.27,48.71,0.18,0.79,12.46,0.74,0.17,10.15,16.8,253.0,556.0,,4.0,246.0,327.0,17.4,54.0,4.5,10.28,21.0,3.11,13.46,3.51,1.06,3.47,0.53,3.04,0.6,1.6,1.44,0.21,1.25,0.25,1.02,BACK-ARC_BASIN,177.92,-35.88,,2010
1.9,8.28,15.62,50.49,0.059,0.072,12.66,0.8,0.16,8.63,1.02,260.0,344.0,41.5,115.0,11.7,92.0,21.3,41.5,0.58,1.24,4.23,0.82,4.63,1.75,0.67,2.72,0.5,3.42,0.76,2.19,2.27,0.35,1.22,0.048,0.058,BACK-ARC_BASIN,-176.14,-20.104,,2009
2.67,7.58,18.01,49.53,0.11,0.04,12.33,1.19,0.12,7.72,0.0,191.0,293.0,36.8,89.0,14.0,164.0,25.0,98.0,1.0,2.69,9.6,,,2.94,1.05,,0.6,,,,2.13,0.38,2.21,0.21,,BACK-ARC_BASIN,-177.862,-18.568,,1994
2.25,8.57,16.24,51.04,0.15,0.5,11.06,0.87,0.16,,7.2,283.8,360.37,,124.8,87.1,306.0,19.6,57.8,2.89,4.99,11.84,1.61,7.7,2.29,0.85,2.6,0.47,3.04,0.63,1.9,1.83,0.29,1.38,0.141,0.461,BACK-ARC_BASIN,144.826,14.5909,,2011
3.77,9.78,14.91,46.92,0.42,1.68,7.82,2.19,0.18,10.11,17.0,180.0,320.0,49.0,250.0,160.0,,,,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,-37.35,-53.392,,1983
2.65,8.15,15.6,48.4,0.103,0.07,11.4,1.46,0.16,,3.4,440.0,250.0,48.0,97.0,,120.0,11.1,,,3.9,9.5,,,,,,,,,,,,,,,BACK-ARC_BASIN,137.441,29.3275,,1980
1.89,10.31,15.28,50.97,,0.01,13.08,0.71,0.16,,0.01,253.0,346.0,45.7,100.0,1.5,68.9,15.6,29.1,0.28,0.58,2.27,0.48,3.17,1.35,0.57,2.03,0.39,2.75,0.61,1.75,1.76,0.26,0.93,0.024,0.02,BACK-ARC_BASIN,134.318,27.3836,,2018
2.67,6.88,17.01,52.69,0.12,0.26,11.1,1.19,,7.86,4.367,260.3,211.6,35.03,96.18,34.94,169.2,23.33,68.94,2.538,4.225,10.86,1.747,8.8,2.826,1.076,3.588,0.601,4.24,0.891,2.526,2.583,0.372,1.951,0.147,0.383,BACK-ARC_BASIN,144.532,18.013,,2012; 2003
2.69,7.63,18.14,49.8,0.1,0.3,11.72,1.03,0.14,8.19,5.6,92.0,224.0,28.0,52.0,40.0,265.0,23.0,65.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,145.18,17.912,,1982
3.07,5.56,13.7,46.3,0.51,1.03,8.3,4.95,0.23,,9.0,,3.0,,20.0,225.0,453.0,41.0,378.0,32.0,34.0,70.0,,,,,,,,,,,,,,4.0,BACK-ARC_BASIN,132.775,24.7007,,1980
2.8,8.73,15.98,49.17,0.13,0.52,11.22,1.09,0.15,,4.63,228.0,334.0,,158.0,29.96,179.0,28.0,89.0,8.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,144.821,17.958,,1985
4.08,5.78,16.43,51.17,0.25,0.45,8.98,1.7,0.15,,3.0,240.0,130.0,26.0,87.0,150.0,260.0,,140.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,151.818,-9.9067,,1997
2.68,5.75,15.5,50.2,0.25,0.33,11.95,1.65,0.17,9.98,6.0,,59.0,,47.0,30.0,185.0,37.0,121.0,3.0,6.0,17.0,,,,,,,,,,,,,,2.0,BACK-ARC_BASIN,136.057,28.984,,1980
3.1,5.44,17.2,49.0,0.17,0.26,11.0,1.4,0.18,,4.33,235.0,184.0,44.0,103.0,29.0,186.0,31.7,110.0,6.14,4.95,14.5,2.18,11.4,3.64,1.29,4.27,0.79,5.38,1.2,3.2,3.23,0.47,2.74,0.38,0.43,BACK-ARC_BASIN,115.047,12.9196,,2018
3.15352680427487,7.88853695718105,14.798337775439,52.9006581814749,0.186186825524667,0.192413137920854,10.1700787528094,1.5785710412202,0.165398976072884,8.9662915480822,1.8606,272.4628,233.9326,35.6633,102.8246,22.7734,160.9169,31.54,99.4631,2.8196,4.6837,12.2995,1.9313,11.281,3.7903,1.3958,4.8833,0.8586,5.6658,1.1998,3.3683,3.3124,0.4796,2.8381,0.2219,0.284,BACK-ARC_BASIN,144.537,19.442,,2021
2.0,7.96,16.52,50.97,0.14,0.5,11.33,0.78,0.16,,8.23,,,,75.4,97.7,325.0,17.0,44.9,1.39,6.27,13.68,1.74,8.85,2.46,0.91,2.81,0.47,2.76,0.57,1.68,1.63,0.24,1.17,0.132,0.596,BACK-ARC_BASIN,144.827,14.5887,,2011
2.3,8.86,15.89,51.21,0.08,0.14,12.06,0.7,0.14,,1.5,214.0,281.0,,158.0,26.0,171.0,13.0,42.0,1.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,149.57,-3.523,,2003
2.61,6.21,17.17,51.0,0.21,0.6,11.52,1.05,0.13,7.62,10.0,251.0,,,73.0,58.0,226.0,29.0,86.0,2.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,144.89,17.83,,1990
2.62,7.78,16.2,49.7,0.11,0.05,12.07,1.22,0.14,,1.0,,315.0,,117.0,21.0,152.0,27.0,85.0,3.0,3.0,16.0,,,,,,,,,,,,,,,BACK-ARC_BASIN,137.441,29.3275,,1980
2.85,5.92,16.5,50.1,0.14,0.26,11.2,1.26,0.18,,3.85,217.0,287.0,44.9,96.6,29.6,183.0,27.4,89.0,5.59,4.46,11.9,1.83,9.7,3.23,1.2,3.93,0.69,4.75,1.03,2.8,2.65,0.384,2.29,0.35,0.42,BACK-ARC_BASIN,115.047,12.9196,,2018
2.25,7.48,14.35,50.38,0.11,0.15,11.56,1.05,0.18,,1.726,362.0,335.0,45.1,102.0,20.48,103.543333333333,25.9333333333333,54.1066666666667,1.06933333333333,2.13866666666667,6.82133333333333,1.19033333333333,6.93,2.536,0.933,3.48633333333333,0.642,4.59966666666667,1.02,3.00066666666667,3.063,0.453,1.525,0.069,0.121,BACK-ARC_BASIN,149.673,-3.657,,1998; 2003; 2004; 2010; 2012; 2020
2.83,6.43,16.2,51.1,0.14,0.21,11.0,1.28,0.16,,1.97,226.0,286.0,39.2,82.8,38.5,181.0,30.3,107.0,6.53,5.74,14.7,2.22,11.3,3.53,1.27,4.24,0.75,5.24,1.17,3.15,3.05,0.453,2.58,0.41,0.56,BACK-ARC_BASIN,115.047,12.9196,,2018
1.89,6.77,16.05,52.81,0.06,0.3,12.05,0.68,0.14,9.26,3.85,,,,,45.6,139.0,13.3,23.9,0.33,1.9,4.79,0.79,4.33,1.52,0.62,2.07,0.3,2.16,0.51,1.33,1.35,0.21,0.79,0.06,0.17,BACK-ARC_BASIN,-176.775,-20.709,,1994; 2007
2.83,5.05,13.18,51.11,0.2,0.1,9.82,1.98,0.22,,1.5,436.0,59.0,,40.0,26.0,76.0,47.0,125.0,2.3,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,149.963,-3.4467,,2003
2.83,7.77,15.44,50.24,0.12,0.13,11.71,1.47,0.16,,0.6,236.0,266.0,,126.0,10.0,114.0,31.0,95.0,1.5,2.7,10.2,,10.4,3.5,1.32,,0.88,,1.15,,0.53,,1.7,,,BACK-ARC_BASIN,155.419,-9.499,,1987
2.6,7.09,16.29,50.0,0.1,0.31,12.23,1.63,0.15,,5.0,239.0,306.0,43.0,120.0,70.0,211.0,,,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,173.518,-16.3128,,1991
2.75,6.84,16.3,49.7,0.12,0.31,12.09,1.19,0.17,,7.0,,285.0,,100.0,36.0,165.0,29.0,88.0,3.0,3.0,8.0,,,,,,,,,,,,,,,BACK-ARC_BASIN,137.441,29.3275,,1980
3.65,9.94,16.45,52.4,0.2,0.42,2.18,1.68,0.37,,3.0,651.0,173.0,,48.0,,120.0,25.0,105.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,134.536,38.616,,1992
2.69,6.51,15.17,52.19,0.09,0.18,11.36,0.93,0.16,,1.5,304.0,127.0,,79.0,18.0,157.0,20.0,49.0,1.1,2.1,6.1,,,2.1,0.74,2.6,,,0.75,,2.5,0.4,1.0,,0.0,BACK-ARC_BASIN,150.208,-3.2,,1998; 2003; 2004
3.19,6.99,17.22,47.34,0.22,0.32,9.88,1.4,0.14,,133.0,183.0,488.0,56.0,180.0,19.0,142.0,,82.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,117.0,15.3923,,2015
2.48,8.47,16.63,49.31,0.117,0.087,12.07,1.26,0.181,9.61,0.819,285.0,346.0,48.4,161.0,8.69,127.0,22.7,60.8,1.63,2.35,8.13,1.34,7.14,2.46,1.0,3.36,0.636,4.07,0.904,2.5,2.52,0.365,1.67,0.109,0.121,BACK-ARC_BASIN,174.273,-16.612,,2023; 1993
2.48,7.14,14.72,49.26,0.21,0.29,11.54,1.89,0.22,,4.0,432.0,281.0,,108.0,40.0,116.0,40.0,114.0,5.0,5.7,15.9,2.3,12.7,3.72,1.27,5.2,,6.91,,4.55,4.09,,,,,BACK-ARC_BASIN,173.587,-16.185,,1990
2.2,7.5,14.84,51.16,0.07,0.06,12.06,1.0,0.18,10.27,1.5,349.6,112.2,,75.0,12.0,83.3,27.9,52.8,0.6,2.22,6.16,1.04,7.05,2.52,1.03,4.2,,5.08,,3.1,2.63,,1.53,0.0,0.2,BACK-ARC_BASIN,-175.961,-19.514,,1992; 1993; 2002
2.3,8.31,15.83,49.51,0.05,0.06,13.59,0.84,0.2,9.3,0.96,,,,,9.2,163.0,20.2,37.5,0.41,1.63,4.96,0.81,5.01,1.91,0.83,2.63,0.43,3.09,0.73,1.94,1.87,0.32,1.0,0.12,0.05,BACK-ARC_BASIN,-176.5,-20.142,,1994; 2007
2.85,6.64,15.47,49.8,0.24,0.41,10.69,2.08,0.19,,6.0,,227.0,,75.0,59.0,143.0,49.0,161.0,5.0,11.0,22.0,,,,,,,,,,,,,,1.0,BACK-ARC_BASIN,-65.963,-58.1927,,1980
2.27,6.75,17.3,48.4,0.13,0.24,12.5,1.05,0.17,9.45,,319.0,164.0,,52.0,24.0,239.0,21.0,59.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,139.883,31.062,,1990
2.52,8.11,16.1,49.4,0.11,0.05,11.88,1.23,0.13,8.42,1.0,,308.0,,105.0,24.0,151.0,29.0,86.0,2.0,2.0,13.0,,,,,,,,,,,,,,0.0,BACK-ARC_BASIN,137.44,29.328,,1980
1.87,7.9,15.65,51.8,0.06,0.11,12.24,0.77,0.16,8.18,1.4,336.0,320.0,35.0,81.0,13.5,170.0,18.0,37.9,0.54,1.27,4.08,0.76,4.46,1.64,0.66,2.18,0.46,2.86,0.65,1.88,1.95,0.31,1.05,0.04,0.04,BACK-ARC_BASIN,-176.133,-20.057,,1994; 2007
1.99,8.05,16.2,50.98,0.14,0.51,11.25,0.79,0.16,,7.68,297.1,343.59,,99.2,95.8,345.0,16.9,41.9,1.23,5.29,12.08,1.58,7.92,2.16,0.8,2.41,0.41,2.47,0.54,1.52,1.47,0.23,1.06,0.076,0.583,BACK-ARC_BASIN,144.826,14.59,,2011
2.47,7.99,14.9,51.4,0.08,0.07,11.9,1.5,0.18,,2.2,260.0,273.0,40.0,70.0,50.0,120.0,31.0,72.0,1.7,2.3,,,10.0,,0.8,,,4.7,,3.0,2.9,,,,,BACK-ARC_BASIN,174.171,-21.1715,,1991; 1994
2.53,5.22,12.6,50.7,0.45,0.81,9.45,3.9,0.22,12.62,15.0,,111.0,,62.0,219.0,361.0,40.0,279.0,34.0,29.0,67.0,,,,,,,,,,,,,,3.0,BACK-ARC_BASIN,132.775,24.701,,1980
2.68,6.01,17.56,52.66,0.21,0.56,10.54,1.13,0.2,,14.3,284.0,110.0,33.0,60.0,118.0,265.0,28.1,100.0,4.5,9.92,23.34,3.22,14.57,3.84,1.29,4.22,0.72,4.47,0.96,2.81,2.7,0.41,2.45,0.3,1.46,BACK-ARC_BASIN,127.0,28.25,,2017
2.56692,8.74992,15.86318,48.95638,0.11892,0.15468,10.98792,1.52272,0.16984,10.52102,3.71981332179971,207.988039727276,382.229619428709,79.728415111326,528.202191689166,30.8013615673979,202.400676578832,15.6629066040044,83.3185302542008,5.19076343081661,5.96759279090952,13.6311424836371,2.25346678041519,10.524006772828,2.83512795935403,1.11121085575578,3.34245229324047,0.597833865888818,3.64777076071677,0.757666613272875,2.06734855859245,1.82194890703447,0.242555757462149,2.24553208329921,0.315546651296926,0.510083048130433,BACK-ARC_BASIN,-176.2,-14.94,,2012; 2015; 2018
2.57,8.51,16.4,49.2,0.13,0.17,11.6,1.3,0.2,10.23,4.02,283.0,280.0,51.1,163.0,36.4,159.0,24.6,79.3,3.86,4.58,11.55,1.9,9.7,3.02,1.14,3.88,0.664,4.38,0.918,2.78,2.64,0.378,2.06,0.208,0.417,BACK-ARC_BASIN,-176.152,-15.064,,2012
2.76,7.09,15.9,49.4,0.14,0.27,12.43,1.32,0.14,,3.0,,249.0,,99.0,22.0,168.0,30.0,92.0,3.0,3.0,13.0,,,,,,,,,,,,,,,BACK-ARC_BASIN,137.441,29.3275,,1980
3.01,7.59,16.78,49.01,0.1,0.09,11.57,1.38,0.2,10.28,0.79,,274.0,,146.0,14.0,169.0,25.1,92.4,2.01,3.57,10.9,1.64,10.5,3.14,1.26,,0.72,4.45,0.98,2.73,2.65,0.38,2.4,,0.14,BACK-ARC_BASIN,-175.342,-15.3317,,2011
2.98,8.1,17.04,48.85,0.15,0.2,10.72,1.18,,9.81,,229.0,,,185.0,,137.0,29.0,88.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,144.75,17.48,,1987
2.51,6.51,13.45,51.09,0.11,0.06,10.98,1.39,0.21,,0.5,391.0,84.0,55.0,55.0,8.0,71.0,31.0,75.0,13.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,150.128,-3.29,,2003
3.23,7.41,16.79,49.33,0.2,0.11,12.36,1.13,0.16,8.77,2.0,212.0,,,74.0,30.0,155.0,22.0,70.0,3.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,-177.862,-18.568,,1994
2.41,7.4,16.69,49.75,0.1,0.13,12.08,0.94,0.39,,3.5,178.0,313.0,50.0,101.0,43.0,160.0,,,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,173.758,-17.5693,,1991
2.67,8.05,16.89,50.49,0.11,0.12,12.04,1.13,0.15,,1.0,,169.0,,78.0,44.0,176.0,23.0,86.0,1.0,,6.0,,,,,,,,,,,,,,,BACK-ARC_BASIN,-177.862,-18.568,,1994
2.41,6.44,13.27,50.46,0.11,0.06,10.81,1.42,0.21,,0.5,422.0,95.0,,59.0,10.0,77.0,33.0,76.0,0.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,150.098,-3.313,,2003
2.15,7.88,15.96,50.07,0.09,0.25,12.44,0.69,0.14,,2.5,246.0,251.0,,114.0,36.0,222.0,15.0,33.0,1.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,150.502,-3.84,,2003
2.67,6.85,14.17,50.6,0.1,0.02,11.4,1.45,0.17,,0.92,,,,,8.3,87.0,34.6,75.0,1.18,2.47,8.58,1.55,8.33,3.36,1.23,4.88,,6.32,,3.97,3.85,0.59,2.2,0.08,0.1,BACK-ARC_BASIN,-176.443,-18.6072,,1993; 2020
2.3,7.5,14.2,50.6,0.07,0.05,12.4,1.0,0.221,,,,122.0,,,3.2,57.0,25.0,16.2,0.59,1.1,4.0,,5.0,2.0,1.8,2.4,,3.5,,2.3,2.1,,1.4,,0.07,BACK-ARC_BASIN,149.732,-3.6067,,2012
1.95,5.18,17.53,47.38,0.67,0.48,13.61,0.91,0.2,,7.64,388.0,120.0,,,24.0,484.0,20.6,48.6,0.62,7.06,18.9,2.8,14.0,3.48,1.2,3.81,0.57,3.39,0.71,2.01,1.84,0.29,1.55,0.053,0.39,BACK-ARC_BASIN,138.951,29.155,,2009
2.4,10.23,17.0,48.4,0.04,0.02,11.53,1.16,0.16,8.97,0.07,266.0,440.0,50.0,212.0,1.3,113.0,25.4,66.0,0.29,1.57,5.62,1.13,6.77,2.54,0.97,3.14,0.61,4.22,0.94,2.67,2.77,0.41,1.31,0.03,0.02,BACK-ARC_BASIN,-176.217,-19.072,,1994; 2007
2.51,6.25,13.2,45.9,0.47,0.8,9.49,4.45,0.26,,8.0,,32.0,,35.0,193.0,431.0,42.0,312.0,33.0,30.0,68.0,,,,,,,,,,,,,,4.0,BACK-ARC_BASIN,132.775,24.7007,,1980
2.37,7.08,14.44,51.5,0.09,0.06,11.13,1.2,0.19,10.67,0.0,416.0,79.0,42.0,48.0,,73.0,,,,5.5,14.4,2.5,15.6,4.66,1.78,5.25,,5.35,1.04,2.97,2.51,0.38,,,,BACK-ARC_BASIN,-175.993,-19.688,CENOZOIC,1985; 1994
2.31,9.82,15.7,48.7,0.12,0.13,10.71,1.14,0.15,,3.0,,311.0,,144.0,33.0,136.0,26.0,84.0,1.0,5.0,11.0,,,,,,,,,,,,,,,BACK-ARC_BASIN,137.441,29.3275,,1980
1.98,8.07,15.52,51.2,0.08,0.13,12.59,0.84,0.16,8.33,2.0,329.0,320.0,36.0,86.0,,155.0,,,,5.23,10.84,1.48,6.7,1.95,0.69,2.65,,2.88,0.61,1.89,1.69,0.28,,,,BACK-ARC_BASIN,-176.133,-20.057,CENOZOIC,1985; 1994
3.39,5.37,16.2,51.8,0.24,0.49,10.1,1.45,0.19,,,367.0,41.0,,29.0,33.0,262.0,28.0,99.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,139.888,31.08,,1990
3.18,5.5,15.48,52.45,0.12,0.45,10.42,1.17,0.17,,7.23,260.0,7.0,33.0,25.0,50.0,28.0,30.0,79.0,1.5,6.4,14.63,2.27,11.5,3.25,1.15,4.08,0.71,4.5,0.99,2.7,2.7,0.28,2.25,0.19,,BACK-ARC_BASIN,174.194,-21.3772,,1991; 1994; 1994
3.18,5.7,15.3,51.85,0.12,0.46,9.94,1.19,0.17,,6.3,260.0,5.0,33.0,25.0,100.0,358.0,29.0,77.0,1.7,6.5,,,11.5,,1.15,,,4.2,,2.7,2.65,,,,,BACK-ARC_BASIN,174.194,-21.3772,,1991; 1994
3.17,6.86,17.02,49.96,0.16,0.28,11.08,1.3,,8.41,3.7,228.0,280.0,36.8,174.0,29.0,201.0,28.5,98.8,4.47,5.01,13.38,2.14,10.52,3.2,1.18,3.94,0.7,4.55,0.97,2.76,2.73,0.43,2.43,0.297,0.368,BACK-ARC_BASIN,144.509,15.296,,2003; 2005
2.51,10.97,15.07,49.21,0.1,0.32,11.1,0.93,0.14,7.65,4.5,214.0,532.0,44.0,212.0,60.0,209.0,20.6,74.0,3.94,4.36,10.7,1.62,7.89,2.37,0.85,2.82,0.48,3.15,0.69,1.99,1.81,0.27,1.67,0.26,0.38,BACK-ARC_BASIN,178.05,-35.72,,1996; 2010
2.56,7.3,14.2,50.0,0.15,0.22,11.21,1.8,0.19,,5.5,298.0,148.0,44.0,71.0,40.0,141.0,35.0,88.0,4.6,4.6,,,13.0,,1.35,,,5.8,,3.4,3.15,,,,,BACK-ARC_BASIN,173.492,-18.812,,1991; 1994
3.07,8.93,15.27,48.2,0.25,0.43,10.08,2.25,0.18,,7.0,250.0,298.0,41.0,174.0,60.0,252.0,,,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,174.147,-21.031,,1991
2.18,8.36,14.72,49.94,0.07,0.05,12.51,0.95,0.17,,0.5,292.0,287.0,,115.0,12.0,73.0,21.0,48.0,1.0,1.65,5.0,,,2.1,0.8,2.9,,,0.8,,2.5,0.4,1.0,,3.0,BACK-ARC_BASIN,149.963,-3.447,,1998; 2003; 2004
2.33,7.41,17.47,49.06,0.1,0.36,12.41,1.29,0.15,,10.0,280.0,320.0,74.0,136.0,8.0,132.0,34.0,109.0,5.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,123.669,5.1448,,1991
