CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,Unnamed: 171
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN,,65.1871,65.1871,-49.8109,-49.8109,SAE,,,s_462959 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,61.58,0.89,,11.57,,,,6.2,12.23,2.49,0.17,,0.17,3.93,0.08,,,,,,,,,,,,,,,,9.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,193.0,158.0,,,31.0,68.0,,,12.0,,,,,3.033,293.0,17.8,64.0,2.79,,,,,,,,,,,,,27.0,7.37,16.28,2.36,10.817,3.037,1.07,3.64,0.57,3.49,0.71,1.85,0.26,1.67,0.243,1.7409999999999999,0.17,,,,,,,,,4.93,,0.7,0.146,0.5121359999999999,,,0.715108,,12.682,,13.799000000000001,,32.61,,,,,,,,0.28180900000000003,,,,,,,120043.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN,,65.1871,65.1871,-49.8109,-49.8109,SAE,,,s_462960 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,54.97,0.9,,11.78,,,,10.97,9.65,6.3,0.23,,0.17,3.73,0.07,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,230.0,172.0,,,58.0,94.0,,,13.0,,,,,0.963,196.8,18.3,68.7,2.92,,,,,,,,,,,,,22.0,5.917000000000001,13.511,2.1,9.882,2.97,1.05,3.645,0.565,3.575,0.727,1.969,0.263,1.7169999999999999,0.23199999999999998,2.04,0.16,,,,,,,,,8.12,,0.5,0.19,0.512359,,,0.718091,,12.540999999999999,,13.744000000000002,,32.434,,,,,,,,,,,,,,,120044.0,
[5951][9926][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN,,65.1871,65.1871,-49.8109,-49.8109,SAE,,,s_462963 [5951],BASALT [5951] / NOT GIVEN [9926],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,57.71,0.9,,11.95,,,,9.34,11.44,3.38,0.2,,0.26,3.7,0.07,,,,,,,,,,,,,,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,187.0,168.0,,,46.0,76.0,,,14.0,,,,,3.168,280.6,17.8,62.46,2.19,,,,,,,,,,,,,21.0,6.227,14.404000000000002,2.18,10.583,3.116,1.005,3.613,0.5660000000000001,3.5780000000000003,0.706,1.983,0.28800000000000003,1.673,0.223,1.865,0.151,,,,,,,,,6.23,,0.54,0.16899999999999998,0.512308,,,0.719978,,12.439,,13.718,,32.355,,,,,,,,0.28177399999999997,,,,,,,120045.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN,,65.1871,65.1871,-49.8109,-49.8109,SAE,,,s_462964 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,58.47,0.92,,12.18,,,,8.61,9.46,4.4,0.19,,0.14,4.59,0.08,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,195.0,157.0,,,144.0,85.0,,,12.0,,,,,0.341,211.0,16.4,67.2,2.58,,,,,,,,,,,,,9.0,5.736000000000001,13.378,2.0580000000000003,9.517999999999999,2.875,1.0090000000000001,3.495,0.52,3.556,0.632,1.7730000000000001,0.255,1.4469999999999998,0.285,2.32,0.2,,,,,,,,,5.91,,0.46,0.159,0.512346,,,0.71824,,12.440999999999999,,13.708,,32.352,,,,,,,,,,,,,,,120046.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER),,65.1803,65.1803,-49.8046,-49.8046,SAE,,,s_462920 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,45.57,0.83,,10.86,,,,16.96,9.77,9.88,0.28,,0.54,1.38,0.05,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,316.0,272.0,,,80.0,107.0,,,18.0,,,,,18.12,20.85,27.2,66.8,2.09,,,,,,,,,,,,,28.0,2.438,6.737,1.123,7.2410000000000005,3.332,1.234,4.36,0.789,5.432,1.103,2.9939999999999998,0.425,2.64,0.344,1.97,0.15,,,,,,,,,2.73,,0.54,0.10800000000000001,0.514074,,,0.8105,,13.764000000000001,,14.048,,33.695,,,,,,,,0.28218499999999996,,,,,,,120047.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER),,65.1803,65.1803,-49.8046,-49.8046,SAE,,,s_462921 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,46.55,0.92,,12.05,,,,17.29,8.37,9.89,0.25,,1.3,1.41,0.04,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,308.0,310.0,,,60.0,119.0,,,20.0,,,,,51.46,23.39,22.4,66.0,2.48,,,,,,,,,,,,,72.0,4.277,10.981,1.7069999999999999,10.102,3.722,1.26,4.571000000000001,0.792,5.11,1.016,2.733,0.386,2.275,0.295,,0.19,,,,,,,,,3.36,,0.66,0.135,0.5131939999999999,,,0.9056850000000001,,13.505,,13.972000000000001,,33.763000000000005,,,,,,,,,,,,,,,120048.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER),,65.1803,65.1803,-49.8046,-49.8046,SAE,,,s_462925 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,49.33,0.9,,11.6,,,,16.64,9.22,8.26,0.26,,0.63,1.26,0.04,,,,,,,,,,,,,,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,314.0,339.0,,,53.0,120.0,,,18.0,,,,,13.96,12.88,19.9,67.9,2.46,,,,,,,,,,,,,42.0,2.898,8.006,1.246,5.87,2.177,1.064,3.273,0.608,4.093999999999999,0.861,2.432,0.355,2.057,0.263,1.784,0.18,,,,,,,,,3.23,,0.61,0.141,0.513128,,,0.799013,,13.092,,13.81,,33.228,,,,,,,,0.28189899999999996,,,,,,,120049.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER),,65.1803,65.1803,-49.8046,-49.8046,SAE,,,s_462926 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,47.97,0.89,,11.87,,,,16.93,9.43,8.58,0.26,,0.78,1.4,0.02,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,330.0,333.0,,,78.0,118.0,,,19.0,,,,,22.12,16.57,20.9,68.5,2.46,,,,,,,,,,,,,49.0,2.9939999999999998,8.024,1.28,8.314,3.24,1.089,3.609,0.625,4.163,0.857,2.449,0.353,2.208,0.302,2.08,0.16,,,,,,,,,3.27,,0.53,0.128,0.513192,,,0.818719,,13.304,,13.857999999999999,,33.441,,,,,,,,,,,,,,,120050.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN,,65.1871,65.1871,-49.8109,-49.8109,SAE,,,s_462935 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,44.52,0.89,,11.5,,,,18.69,11.52,8.52,0.37,,0.78,1.08,0.06,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,297.0,184.0,,,66.0,111.0,,,19.0,,,,,36.99,21.94,20.9,68.4,2.48,,,,,,,,,,,,,74.0,3.6010000000000004,10.226,1.6059999999999999,9.463,3.167,0.993,3.641,0.617,4.021,0.821,2.251,0.309,1.9269999999999998,0.27699999999999997,1.8030000000000002,0.15,,,,,,,,,3.88,,0.51,0.125,0.512763,,,0.795039,,13.046,,13.857999999999999,,32.94,,,,,,,,0.281947,,,,,,,120051.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN,,65.1871,65.1871,-49.8109,-49.8109,SAE,,,s_462937 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,46.19,0.84,,11.36,,,,17.62,11.55,8.26,0.34,,0.45,1.37,0.05,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,245.0,167.0,,,60.0,99.0,,,18.0,,,,,9.01,37.99,19.9,65.6,2.54,,,,,,,,,,,,,34.0,3.5069999999999997,10.530999999999999,1.6680000000000001,8.792,3.0410000000000004,0.95,3.7769999999999997,0.618,3.923,0.8009999999999999,2.26,0.33399999999999996,1.86,0.248,2.14,0.16,,,,,,,,,3.1,,0.5,0.107,0.512857,,,0.7333970000000001,,12.889000000000001,,13.821,,32.912,,,,,,,,,,,,,,,120052.0,
