CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,Unnamed: 171
[14402],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,,-31.3471,-31.3471,121.7499,121.7499,SAE,,,s_CD 259-14 [14402],BASALT [14402],2700000000 [14402],2700000000 [14402],NEO [14402],ARCHEAN [14402],,,,,VOL,,,,,WR [14402] ,51.78,0.81,,15.19,,2.96,6.71,9.38,7.74,6.66,0.15,,0.38,2.7,0.09,,,,,,,,,,,,,,,0.01,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,257.0,198.0,,,58.0,62.0,,,,,,,,8.1,155.3,18.0,74.0,3.73,,,,,,,,,,,,,110.0,4.46,11.18,1.51,7.31,2.0,0.77,2.54,0.45,2.96,0.63,1.76,0.27,1.7,0.24,2.21,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,462721.0,
[14402],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,,-31.3695,-31.3695,121.7832,121.7832,SAE,,,s_CD339 W3-8 [14402],BASALT [14402],2700000000 [14402],2700000000 [14402],NEO [14402],ARCHEAN [14402],,,,,VOL,,,,,WR [14402] ,48.12,0.72,,14.97,,2.04,10.72,12.55,9.36,7.81,0.27,,0.11,1.4,0.06,,,,,,,,,,,,,,,0.0,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,230.0,710.0,,,65.0,187.0,,,,,,,,1.0,63.0,20.0,60.0,2.93,,,,,,,,,,,,,15.1,4.18,10.51,1.42,6.81,1.95,0.71,2.71,0.45,3.18,0.68,1.97,0.3,1.83,0.26,1.39,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,462722.0,
[14402],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,,-30.3809,-30.3809,121.0622,121.0622,SAE,,,s_PDC8 [14402],BASALT [14402],2700000000 [14402],2700000000 [14402],NEO [14402],ARCHEAN [14402],,,,,VOL,,,,,WR [14402] ,49.02,1.13,,14.43,,3.55,7.74,10.94,11.63,6.68,0.19,,0.39,1.86,0.12,,,,,,,,,,,,,,,0.21,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,236.0,291.0,,,49.0,119.0,,,,,,,,16.5,110.1,23.0,80.0,4.52,,,,,,,,,,,,,73.9,5.97,14.53,1.98,9.64,2.74,0.97,3.5,0.59,3.89,0.81,2.18,0.35,2.26,0.34,2.38,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,462723.0,
[14402],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,,-30.5373,-30.5373,121.2294,121.2294,SAE,,,s_PDC2 [14402],BASALT [14402],2700000000 [14402],2700000000 [14402],NEO [14402],ARCHEAN [14402],,,,,VOL,,,,,WR [14402] ,49.35,1.23,,13.84,,3.46,8.24,11.36,9.81,6.54,0.2,,0.11,2.71,0.12,,,,,,,,,,,,,,,0.07,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,277.0,264.0,,,46.0,85.0,,,,,,,,2.5,123.9,26.0,85.0,4.12,,,,,,,,,,,,,28.1,6.61,15.97,2.15,10.58,2.95,1.03,3.7,0.63,4.24,0.88,2.45,0.37,2.44,0.37,2.14,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,462727.0,
[14402],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,,-30.5373,-30.5373,121.2294,121.2294,SAE,,,s_PDC4 [14402],BASALT [14402],2700000000 [14402],2700000000 [14402],NEO [14402],ARCHEAN [14402],,,,,VOL,,,,,WR [14402] ,49.37,1.2,,14.29,,3.11,8.35,11.14,10.54,6.4,0.18,,0.5,1.89,0.13,,,,,,,,,,,,,,,0.26,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,268.0,263.0,,,65.0,115.0,,,,,,,,28.5,136.1,26.0,86.0,4.12,,,,,,,,,,,,,67.9,6.75,16.12,2.18,10.48,3.06,1.05,3.89,0.65,4.23,0.88,2.47,0.38,2.37,0.38,2.29,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,462728.0,
[14402],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,,-31.3695,-31.3695,121.7832,121.7832,SAE,,,s_CD339 W3-10 [14402],BASALT [14402],2700000000 [14402],2700000000 [14402],NEO [14402],ARCHEAN [14402],,,,,VOL,,,,,WR [14402] ,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,1.89,,,,,,,,,,,,,,,,,,,,,,,,0.5124340000000001,,,,,,,,,,,,,,,,,,,,,,,,462731.0,
[14487],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,,-32.2,-32.2,121.77,121.77,SAE,,,s_BN309-2 [14487],"BASALT, KOMATIITIC [14487]",2700000000 [14487],2700000000 [14487],,ARCHEAN [14487],,,,,VOL,,,,,WR [14487] ,47.51,0.36,,9.3,,0.98,9.66,10.55,6.95,18.3,0.19,,0.11,0.2,0.03,,,,,,,,,,,,,,,0.02,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,164.0,2320.0,,,80.0,636.0,,,,,,,,8.3,14.7,9.0,18.0,1.1,,,,,,,,,,,,,2.4,1.35,3.66,0.57,2.95,0.9,0.38,1.2,0.21,1.38,0.31,0.87,0.14,0.89,0.15,0.51,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,471634.0,
[14487],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,,-32.2,-32.2,121.77,121.77,SAE,,,s_BN309-4 [14487],"BASALT, KOMATIITIC [14487]",2700000000 [14487],2700000000 [14487],,ARCHEAN [14487],,,,,VOL,,,,,WR [14487] ,48.32,0.39,,9.56,,1.2,9.63,10.71,6.91,18.1,0.21,,0.03,0.21,0.03,,,,,,,,,,,,,,,0.01,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,160.0,2415.0,,,80.0,624.0,,,,,,,,0.8,9.5,9.0,20.0,0.94,,,,,,,,,,,,,0.5,0.97,2.79,0.44,2.72,0.92,0.26,1.17,0.21,1.43,0.3,0.87,0.15,0.97,0.16,0.53,,,,,,,,,,,,0.15,,0.51271,,,,,,,,,,,,,,,,,,,,,,,,471635.0,
[14487],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,,-32.2,-32.2,121.77,121.77,SAE,,,s_BN310-4 [14487],"BASALT, KOMATIITIC [14487]",2700000000 [14487],2700000000 [14487],,ARCHEAN [14487],,,,,VOL,,,,,WR [14487] ,48.43,0.42,,10.34,,0.96,9.37,10.23,7.35,16.81,0.2,,1.04,0.23,0.04,,,,,,,,,,,,,,,0.01,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,173.0,2074.0,,,77.0,556.0,,,,,,,,60.1,43.7,11.0,24.0,1.73,,,,,,,,,,,,,66.3,1.67,4.2,0.64,3.19,1.01,0.38,1.3,0.23,1.53,0.34,0.97,0.16,1.02,0.17,0.59,,,,,,,,,,,,0.25,,0.512626,,,,,,,,,,,,,,,,,,,,,,,,471636.0,
[14487],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,,-32.2,-32.2,121.77,121.77,SAE,,,s_BN310-2 [14487],"BASALT, KOMATIITIC [14487]",2700000000 [14487],2700000000 [14487],,ARCHEAN [14487],,,,,VOL,,,,,WR [14487] ,46.05,0.49,,10.67,,1.52,9.69,11.06,7.16,17.12,0.19,,0.62,0.21,0.04,,,,,,,,,,,,,,,0.02,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,202.0,2711.0,,,82.0,621.0,,,,,,,,36.9,17.7,11.0,22.0,1.16,,,,,,,,,,,,,64.9,1.43,3.85,0.62,3.18,1.06,0.35,1.46,0.26,1.79,0.38,1.12,0.18,1.2,0.19,0.6,,,,,,,,,,,,0.13,,0.512814,,,,,,,,,,,,,,,,,,,,,,,,471637.0,
