NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING,longitude,latitude,AGE,PUBLICATION_YEAR
3.66,6.9,17.7,49.6,0.36,0.96,9.27,1.55,0.17,9.45,10.0,238.0,88.0,39.0,82.0,305.0,602.0,25.0,157.0,8.6,12.62,30.52,4.18,18.5,4.49,1.54,4.83,0.75,4.73,0.95,2.72,2.47,0.38,3.34,0.62,0.95,Continental arc,159.815,57.235,QUATERNARY,2010
2.65,5.86,18.2,50.29,0.24,0.77,10.45,1.19,0.18,10.16,,,,,,193.877,615.194,16.97,54.352,,7.055,17.54,,12.273,3.078,1.067,3.175,0.501,2.915,0.617,1.627,1.498,0.224,,,0.802,Continental arc,138.3,36.1,,2009
2.17,4.77,19.0,48.9,0.11,0.4,12.0,0.75,0.19,9.5,7.0,283.69,12.16,29.62,12.28,358.65,457.13,15.26,33.18,1.2,2.99,7.66,1.32,6.2,1.96,0.74,2.27,0.38,2.51,0.53,1.53,1.48,0.22,1.0,0.07,0.34,Continental arc,-86.7,12.5,HOLOCENE,1986; 2009
3.3,6.73,17.3,48.6,0.13,0.73,10.9,1.58,0.16,9.18,10.8,,266.0,,67.0,327.0,497.0,27.9,131.0,11.4,10.8,27.2,,15.9,4.01,1.37,4.64,,4.81,,2.87,2.04,,,,,Continental arc,-90.15,14.25,,1995
1.58,5.84,15.95,50.84,0.06,0.15,9.79,0.99,0.2,11.49,3.17,,,,,,178.0,,,,,,,5.2,1.85,,,,,,,,,,,,Continental arc,140.065,40.175,PLIOCENE,2006; 2008
2.71,6.76,13.39,46.25,0.48,0.77,7.94,5.72,0.18,,3.52,,,,,395.54,303.67,36.84,206.36,22.86,23.73,51.66,6.15,29.92,7.49,2.24,8.19,1.26,7.5,1.47,3.77,3.57,,5.06,1.52,3.12,Continental arc,132.89,42.83,CENOZOIC,2002
2.96,7.21,17.14,47.94,0.21,0.31,10.63,0.86,0.11,7.61,5.0,,192.0,31.0,0.0,0.0,330.0,27.0,60.0,8.0,8.4,24.7,,,2.6,0.8,,0.5,,,,1.6,0.4,1.7,0.7,1.3,Continental arc,133.17,35.58,MIOCENE,1994
1.47,9.35,14.67,52.69,0.19,0.31,9.54,0.81,0.13,,22.0,220.0,420.0,38.0,124.0,199.0,212.0,25.0,86.0,5.0,13.0,33.0,,,,,,,,,,,,,,4.0,Continental arc,8.75,39.8,NEOGENE,1994
2.85,7.33,17.0,51.23,0.31,0.6,8.83,1.31,0.18,9.35,4.2,214.0,279.0,40.0,96.0,134.0,419.0,24.7,126.0,5.5,12.5,26.7,4.23,19.0,4.35,1.58,4.38,0.86,4.92,0.94,2.6,2.54,0.37,3.32,0.35,1.32,Continental arc,137.5,35.75,PLEISTOCENE,1999; 2002
3.21,5.18,17.09,52.83,0.17,1.22,8.8,0.81,0.15,8.27,23.0,236.0,68.1,29.5,18.1,458.0,581.0,18.3,104.0,2.44,9.96,22.1,3.2,13.8,3.27,0.99,3.24,0.52,3.13,0.64,1.77,1.73,0.26,2.74,0.15,2.29,Continental arc,-91.298,14.654,,2012
2.22,7.52,16.06,49.2,0.044,0.109,12.55,1.059,0.193,10.45,6.0,,66.0,,40.0,355.0,688.0,16.0,54.0,,,,,,,,,,,,,,,,,,Continental arc,-84.733,10.467,QUATERNARY,1998; 2001; 2006
4.19,5.94,15.96,52.58,0.22,1.1,6.93,1.65,0.12,,28.0,,,,,,476.0,20.0,,23.0,,,,,,,,,,,,,,,,,Continental arc,8.67,40.58,NEOGENE,1976
3.81,7.81,16.31,51.69,0.1,0.92,2.81,1.16,0.43,8.77,15.0,,,,,268.0,256.0,27.0,98.0,3.7,,,,12.0,3.29,,,,,,,,,,,,Continental arc,139.0,38.0,MIOCENE,1997
2.28,10.74,13.92,52.42,0.13,0.66,10.12,0.84,0.16,8.74,9.07,239.0,660.0,,160.0,220.0,253.0,16.31,62.08,1.33,4.14,10.76,1.68,8.18,2.39,0.79,2.73,0.48,2.95,0.61,1.68,1.73,0.26,1.72,0.14,0.43,Continental arc,160.63,56.05,,2013
